,images_path,anns_path
0,/content/coco/images/train2017/000000000064.jpg,/content/coco/images/train2017/000000000064.xml
1,/content/coco/images/train2017/000000000071.jpg,/content/coco/images/train2017/000000000071.xml
2,/content/coco/images/train2017/000000000073.jpg,/content/coco/images/train2017/000000000073.xml
3,/content/coco/images/train2017/000000000074.jpg,/content/coco/images/train2017/000000000074.xml
4,/content/coco/images/train2017/000000000086.jpg,/content/coco/images/train2017/000000000086.xml
5,/content/coco/images/train2017/000000000094.jpg,/content/coco/images/train2017/000000000094.xml
6,/content/coco/images/train2017/000000000149.jpg,/content/coco/images/train2017/000000000149.xml
7,/content/coco/images/train2017/000000000247.jpg,/content/coco/images/train2017/000000000247.xml
8,/content/coco/images/train2017/000000000260.jpg,/content/coco/images/train2017/000000000260.xml
9,/content/coco/images/train2017/000000000307.jpg,/content/coco/images/train2017/000000000307.xml
10,/content/coco/images/train2017/000000000328.jpg,/content/coco/images/train2017/000000000328.xml
11,/content/coco/images/train2017/000000000359.jpg,/content/coco/images/train2017/000000000359.xml
12,/content/coco/images/train2017/000000000419.jpg,/content/coco/images/train2017/000000000419.xml
13,/content/coco/images/train2017/000000000471.jpg,/content/coco/images/train2017/000000000471.xml
14,/content/coco/images/train2017/000000000529.jpg,/content/coco/images/train2017/000000000529.xml
15,/content/coco/images/train2017/000000000531.jpg,/content/coco/images/train2017/000000000531.xml
16,/content/coco/images/train2017/000000000532.jpg,/content/coco/images/train2017/000000000532.xml
17,/content/coco/images/train2017/000000000540.jpg,/content/coco/images/train2017/000000000540.xml
18,/content/coco/images/train2017/000000000629.jpg,/content/coco/images/train2017/000000000629.xml
19,/content/coco/images/train2017/000000000641.jpg,/content/coco/images/train2017/000000000641.xml
20,/content/coco/images/train2017/000000000650.jpg,/content/coco/images/train2017/000000000650.xml
21,/content/coco/images/train2017/000000000656.jpg,/content/coco/images/train2017/000000000656.xml
22,/content/coco/images/train2017/000000000681.jpg,/content/coco/images/train2017/000000000681.xml
23,/content/coco/images/train2017/000000000690.jpg,/content/coco/images/train2017/000000000690.xml
24,/content/coco/images/train2017/000000000722.jpg,/content/coco/images/train2017/000000000722.xml
25,/content/coco/images/train2017/000000000723.jpg,/content/coco/images/train2017/000000000723.xml
26,/content/coco/images/train2017/000000000730.jpg,/content/coco/images/train2017/000000000730.xml
27,/content/coco/images/train2017/000000000731.jpg,/content/coco/images/train2017/000000000731.xml
28,/content/coco/images/train2017/000000000775.jpg,/content/coco/images/train2017/000000000775.xml
